permno,date,RET,PRC,SHROUT
10145,198811,0.013187,34.125,149949
10145,198812,-0.047619,32.5,148746
10145,198901,0.069231,34.75,148746
10145,198902,-0.015827,33.75,148746
10145,198903,-0.033333,32.625,147961
10145,198904,0.030651,33.625,147961
10145,198905,0.054275,35,147961
10145,198906,-0.057143,33,147961
10145,198907,0.125,37.125,147961
10145,198908,0.092929,40.125,147961
10145,198909,-0.068536,37.375,149317
10145,198910,-0.033445,36.125,149317
10145,198911,0.015917,36.25,149317
10145,198912,-0.037931,34.875,150007
10145,199001,-0.02509,34,150007
10145,199002,0.046324,35.125,150007
10145,199003,0.053381,37,144000
10145,199004,-0.050676,35.125,144000
10145,199005,0.051957,36.5,144000
10145,199006,0.006849,36.75,144000
10145,199007,-0.081633,33.75,144000
10145,199008,-0.068148,31,144000
10145,199009,-0.100806,27.875,138316
10145,199010,-0.098655,25.125,138316
10145,199011,0.122388,27.75,138316
10145,199012,-0.027027,27,134795
10145,199101,0.074074,29,134795
10145,199102,0.041379,29.75,134795
10145,199103,-0.02521,29,134688
10145,199104,0.021552,29.625,134688
10145,199105,0.023629,29.875,134688
10145,199106,0.104603,33,135722
10145,199107,0.17803,38.875,135722
10145,199108,-0.001286,38.375,135722
10145,199109,-0.055375,36.25,136558
10145,199110,0.144828,41.5,136558
10145,199111,-0.057229,38.875,136558
10145,199112,0.128617,43.875,137430
10145,199201,0.128205,49.5,137430
10145,199202,0.007576,49.625,137430
10145,199203,0.017632,50.5,138150
10145,199204,0.153465,58.25,138150
10145,199205,0,58,138150
10145,199206,-0.073276,53.75,140207
10145,199207,0.032558,55.5,140207
10145,199208,-0.051802,52.375,140207
10145,199209,-0.00716,52,141107
10145,199210,0.067308,55.5,141107
10145,199211,0.033784,57.125,141107
10145,199212,0.059081,60.5,141637
10145,199301,-0.047521,57.625,141637
10145,199302,0.1482,65.875,141637
10145,199303,0.011385,66.625,141883
10145,199304,-0.020638,65.25,141883
10145,199305,0.027433,66.75,141883
10145,199306,0,66.75,141940
10145,199307,0.050562,70.125,141940
10145,199308,0.070089,74.75,141940
10145,199309,-0.025084,72.875,141060
10145,199310,-0.017153,71.625,141060
10145,199311,-0.002932,71.125,141677
10145,199312,0.110721,79,141677
10145,199401,-0.004747,78.625,141677
10145,199402,-0.024928,76.375,141677
10145,199403,-0.04419,36.5,283834
10145,199404,-0.054795,34.5,283834
10145,199405,0.022971,35.125,283834
10145,199406,-0.014235,34.625,284529
10145,199407,0.104693,38.25,284529
10145,199408,-0.018497,37.375,284529
10145,199409,-0.086957,34.125,282793
10145,199410,0.014652,34.625,282793
10145,199411,-0.052924,32.625,282987
10145,199412,0.042146,34,282987
10145,199501,0.051471,35.75,282987
10145,199502,0.064895,37.875,282987
10145,199503,0.036304,39.25,283132
10145,199504,0.009554,39.625,283132
10145,199505,0.023849,40.375,284298
